NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_4207041_SW_19_060_20181107,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/11/07,42°16'52.52"N,70°58'07.55"W,42°18'54.38"N,71°00'20.53"W,42°18'58.82"N,70°56'02.29"W,42°14'50.62"N,70°55'54.70"W,42°14'46.19"N,71°00'12.66"W,42.2812554,-70.9687638,42.3151055,-71.0057027,42.3163388,-70.9339694,42.2473944,-70.931861,42.2461638,-71.0035166,M_4207041_SW_19_060_20181107,2688157,https://earthexplorer.usgs.gov/browse-link/15920/2688157
M_4207049_NW_19_060_20181107,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/11/07,42°13'07.51"N,70°58'07.56"W,42°15'09.37"N,71°00'20.52"W,42°15'13.81"N,70°56'02.33"W,42°11'05.61"N,70°55'54.75"W,42°11'01.18"N,71°00'12.67"W,42.2187527,-70.9687666,42.2526027,-71.0057,42.2538361,-70.9339805,42.1848916,-70.9318749,42.183661,-71.0035194,M_4207049_NW_19_060_20181107,2688162,https://earthexplorer.usgs.gov/browse-link/15920/2688162
M_4207025_SE_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°31'52.52"N,70°54'22.55"W,42°33'54.38"N,70°56'35.43"W,42°33'58.68"N,70°52'17.23"W,42°29'50.60"N,70°52'09.82"W,42°29'46.31"N,70°56'27.74"W,42.5312554,-70.9062638,42.5651055,-70.9431749,42.5663,-70.8714527,42.4973888,-70.8693943,42.4961971,-70.9410388,M_4207025_SE_19_060_20181016,2688140,https://earthexplorer.usgs.gov/browse-link/15920/2688140
M_4207025_SW_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°31'52.51"N,70°58'07.55"W,42°33'54.37"N,71°00'20.65"W,42°33'58.82"N,70°56'02.25"W,42°29'50.61"N,70°55'54.59"W,42°29'46.17"N,71°00'12.71"W,42.5312527,-70.9687638,42.5651027,-71.0057361,42.5663388,-70.9339583,42.4973916,-70.9318304,42.4961583,-71.0035305,M_4207025_SW_19_060_20181016,2688141,https://earthexplorer.usgs.gov/browse-link/15920/2688141
M_4207033_NE_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°28'07.52"N,70°54'22.55"W,42°30'09.39"N,70°56'35.39"W,42°30'13.69"N,70°52'17.24"W,42°26'05.60"N,70°52'09.85"W,42°26'01.31"N,70°56'27.72"W,42.4687554,-70.9062638,42.5026083,-70.9431638,42.5038027,-70.8714554,42.4348888,-70.8694027,42.4336971,-70.9410333,M_4207033_NE_19_060_20181016,2688149,https://earthexplorer.usgs.gov/browse-link/15920/2688149
M_4207033_NW_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°28'07.52"N,70°58'07.56"W,42°30'09.38"N,71°00'20.63"W,42°30'13.82"N,70°56'02.27"W,42°26'05.61"N,70°55'54.64"W,42°26'01.18"N,71°00'12.70"W,42.4687554,-70.9687666,42.5026055,-71.0057305,42.5038388,-70.9339638,42.4348916,-70.9318443,42.433661,-71.0035277,M_4207033_NW_19_060_20181016,2688150,https://earthexplorer.usgs.gov/browse-link/15920/2688150
M_4207033_SE_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°24'22.52"N,70°54'22.56"W,42°26'24.39"N,70°56'35.37"W,42°26'28.69"N,70°52'17.26"W,42°22'20.60"N,70°52'09.89"W,42°22'16.31"N,70°56'27.71"W,42.4062555,-70.9062666,42.4401083,-70.9431583,42.4413027,-70.871461,42.3723888,-70.8694138,42.3711971,-70.9410305,M_4207033_SE_19_060_20181016,2688151,https://earthexplorer.usgs.gov/browse-link/15920/2688151
M_4207033_SW_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°24'22.52"N,70°58'07.55"W,42°26'24.38"N,71°00'20.59"W,42°26'28.82"N,70°56'02.28"W,42°22'20.61"N,70°55'54.66"W,42°22'16.18"N,71°00'12.68"W,42.4062555,-70.9687638,42.4401055,-71.0057194,42.4413388,-70.9339666,42.3723916,-70.9318499,42.371161,-71.0035222,M_4207033_SW_19_060_20181016,2688152,https://earthexplorer.usgs.gov/browse-link/15920/2688152
M_4207041_NW_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°20'37.51"N,70°58'07.55"W,42°22'39.38"N,71°00'20.56"W,42°22'43.82"N,70°56'02.30"W,42°18'35.60"N,70°55'54.69"W,42°18'31.17"N,71°00'12.67"W,42.3437527,-70.9687638,42.3776054,-71.0057111,42.3788388,-70.9339721,42.3098888,-70.9318582,42.3086583,-71.0035194,M_4207041_NW_19_060_20181016,2688155,https://earthexplorer.usgs.gov/browse-link/15920/2688155
M_4207041_SE_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°16'52.51"N,70°54'22.55"W,42°18'54.39"N,70°56'35.31"W,42°18'58.68"N,70°52'17.27"W,42°14'50.59"N,70°52'09.93"W,42°14'46.30"N,70°56'27.69"W,42.2812527,-70.9062638,42.3151083,-70.9431416,42.3163,-70.8714638,42.247386,-70.8694249,42.2461944,-70.9410249,M_4207041_SE_19_060_20181016,2688156,https://earthexplorer.usgs.gov/browse-link/15920/2688156
M_4207049_NE_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°13'07.52"N,70°54'22.56"W,42°15'09.40"N,70°56'35.29"W,42°15'13.69"N,70°52'17.29"W,42°11'05.60"N,70°52'09.97"W,42°11'01.32"N,70°56'27.68"W,42.2187554,-70.9062666,42.2526111,-70.943136,42.2538027,-70.8714693,42.1848888,-70.869436,42.1836999,-70.9410221,M_4207049_NE_19_060_20181016,2688161,https://earthexplorer.usgs.gov/browse-link/15920/2688161
M_4207131_SE_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°31'52.51"N,71°09'22.56"W,42°33'54.32"N,71°11'36.36"W,42°33'59.20"N,71°07'17.31"W,42°29'50.65"N,71°07'08.90"W,42°29'45.78"N,71°11'27.67"W,42.5312527,-71.1562666,42.5650888,-71.1934333,42.5664444,-71.1214749,42.4974027,-71.1191388,42.4960499,-71.1910194,M_4207131_SE_19_060_20181016,2688255,https://earthexplorer.usgs.gov/browse-link/15920/2688255
M_4207131_SW_19_060_20181016,MA,USDA,USDA-FSA-APFO,UTM,19N,NAD83,0.600000000000000,METER,4,CNIR,201808_MASSACHUSETTS_NAIP_0X6000M_UTM_CNIR,2018/10/16,42°31'52.52"N,71°13'07.55"W,42°33'54.32"N,71°15'21.58"W,42°33'59.35"N,71°11'02.33"W,42°29'50.67"N,71°10'53.67"W,42°29'45.66"N,71°15'12.64"W,42.5312554,-71.2187638,42.5650888,-71.2559944,42.5664861,-71.1839805,42.4974083,-71.1815749,42.4960166,-71.2535111,M_4207131_SW_19_060_20181016,2688256,https://earthexplorer.usgs.gov/browse-link/15920/2688256
