NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_3209602_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°58'07.46"N,96°46'52.49"W,33°00'09.05"N,96°48'50.69"W,33°00'04.74"N,96°44'48.31"W,32°56'05.85"N,96°44'54.38"W,32°56'10.15"N,96°48'56.57"W,32.9687388,-96.7812471,33.0025138,-96.8140805,33.0013166,-96.7467527,32.9349583,-96.7484388,32.9361527,-96.8157138,M_3209602_NE_14_060_20181126,2791978,https://earthexplorer.usgs.gov/browse-link/15920/2791978
M_3209602_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°54'22.49"N,96°46'52.45"W,32°56'24.07"N,96°48'50.69"W,32°56'19.77"N,96°44'48.25"W,32°52'20.88"N,96°44'54.30"W,32°52'25.18"N,96°48'56.56"W,32.9062472,-96.781236,32.9400194,-96.8140805,32.9388249,-96.746736,32.8724666,-96.7484166,32.873661,-96.8157111,M_3209602_SE_14_060_20181126,2791980,https://earthexplorer.usgs.gov/browse-link/15920/2791980
M_3209603_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°58'07.52"N,96°39'22.48"W,33°00'09.31"N,96°41'20.62"W,33°00'04.75"N,96°37'18.03"W,32°56'05.70"N,96°37'24.44"W,32°56'10.24"N,96°41'26.85"W,32.9687554,-96.6562444,33.0025861,-96.689061,33.0013194,-96.6216749,32.9349166,-96.6234554,32.9361777,-96.6907916,M_3209603_NE_14_060_20181126,2791982,https://earthexplorer.usgs.gov/browse-link/15920/2791982
M_3209603_NW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°58'07.50"N,96°43'07.54"W,33°00'09.14"N,96°45'05.77"W,33°00'04.70"N,96°41'03.17"W,32°56'05.83"N,96°41'09.41"W,32°56'10.26"N,96°45'11.82"W,32.9687499,-96.718761,33.0025388,-96.7516027,33.0013055,-96.6842138,32.9349527,-96.6859471,32.9361833,-96.7532833,M_3209603_NW_14_060_20181126,2791983,https://earthexplorer.usgs.gov/browse-link/15920/2791983
M_3209603_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°54'22.55"N,96°39'22.53"W,32°56'24.35"N,96°41'20.70"W,32°56'19.79"N,96°37'18.06"W,32°52'20.73"N,96°37'24.45"W,32°52'25.28"N,96°41'26.91"W,32.9062638,-96.6562583,32.9400971,-96.6890833,32.9388305,-96.6216832,32.8724249,-96.6234582,32.8736888,-96.6908083,M_3209603_SE_14_060_20181126,2791984,https://earthexplorer.usgs.gov/browse-link/15920/2791984
M_3209603_SW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°54'22.53"N,96°43'07.43"W,32°56'24.17"N,96°45'05.70"W,32°56'19.74"N,96°41'03.04"W,32°52'20.86"N,96°41'09.26"W,32°52'25.28"N,96°45'11.73"W,32.9062583,-96.7187304,32.9400471,-96.7515833,32.9388166,-96.6841777,32.872461,-96.6859055,32.8736888,-96.7532583,M_3209603_SW_14_060_20181126,2791985,https://earthexplorer.usgs.gov/browse-link/15920/2791985
M_3209610_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°50'37.52"N,96°46'52.52"W,32°52'39.10"N,96°48'50.68"W,32°52'34.80"N,96°44'48.41"W,32°48'35.91"N,96°44'54.45"W,32°48'40.20"N,96°48'56.53"W,32.8437555,-96.7812554,32.8775277,-96.8140777,32.8763332,-96.7467805,32.809975,-96.7484583,32.8111666,-96.8157027,M_3209610_NE_14_060_20181126,2792010,https://earthexplorer.usgs.gov/browse-link/15920/2792010
M_3209610_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°46'52.54"N,96°46'52.46"W,32°48'54.12"N,96°48'50.66"W,32°48'49.82"N,96°44'48.33"W,32°44'50.93"N,96°44'54.35"W,32°44'55.22"N,96°48'56.50"W,32.781261,-96.7812388,32.8150333,-96.8140722,32.8138388,-96.7467583,32.7474805,-96.7484305,32.7486721,-96.8156944,M_3209610_SE_14_060_20181126,2792012,https://earthexplorer.usgs.gov/browse-link/15920/2792012
M_3209611_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°50'37.59"N,96°39'22.45"W,32°52'39.38"N,96°41'20.55"W,32°52'34.83"N,96°37'18.07"W,32°48'35.77"N,96°37'24.45"W,32°48'40.30"N,96°41'26.74"W,32.8437749,-96.6562361,32.8776054,-96.6890416,32.8763416,-96.621686,32.8099361,-96.6234582,32.8111944,-96.690761,M_3209611_NE_14_060_20181126,2792014,https://earthexplorer.usgs.gov/browse-link/15920/2792014
M_3209611_NW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°50'37.56"N,96°43'07.43"W,32°52'39.20"N,96°45'05.61"W,32°52'34.77"N,96°41'03.12"W,32°48'35.89"N,96°41'09.33"W,32°48'40.31"N,96°45'11.64"W,32.8437666,-96.7187304,32.8775554,-96.7515583,32.8763249,-96.6841999,32.8099694,-96.6859249,32.8111972,-96.7532333,M_3209611_NW_14_060_20181126,2792015,https://earthexplorer.usgs.gov/browse-link/15920/2792015
