NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_4208320_SE_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°39'23.41"N,83°31'51.65"W,42°41'26.01"N,83°34'06.08"W,42°41'31.73"N,83°29'47.42"W,42°37'20.76"N,83°29'37.38"W,42°37'15.06"N,83°33'55.75"W,42.6565027,-83.5310138,42.6905583,-83.5683554,42.6921471,-83.4965055,42.6224332,-83.4937166,42.6208499,-83.5654861,M_4208320_SE_17_060_20180707,2821628,https://earthexplorer.usgs.gov/browse-link/15920/2821628
M_4208321_SE_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°39'23.41"N,83°24'21.65"W,42°41'26.05"N,83°26'35.61"W,42°41'31.48"N,83°22'17.37"W,42°37'20.72"N,83°22'07.84"W,42°37'15.30"N,83°26'25.79"W,42.6565027,-83.4060138,42.6905694,-83.4432249,42.6920777,-83.3714916,42.6224221,-83.3688443,42.6209166,-83.4404971,M_4208321_SE_17_060_20180707,2821632,https://earthexplorer.usgs.gov/browse-link/15920/2821632
M_4208321_SW_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°39'23.40"N,83°28'06.63"W,42°41'26.02"N,83°30'22.62"W,42°41'31.67"N,83°26'00.58"W,42°37'20.73"N,83°25'50.79"W,42°37'15.09"N,83°30'12.55"W,42.6565,-83.4685082,42.690561,-83.5062833,42.6921305,-83.4334944,42.6224249,-83.4307749,42.6208582,-83.5034861,M_4208321_SW_17_060_20180707,2821633,https://earthexplorer.usgs.gov/browse-link/15920/2821633
M_4208322_SE_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°39'23.41"N,83°16'51.65"W,42°41'26.08"N,83°19'05.14"W,42°41'31.22"N,83°14'47.33"W,42°37'20.69"N,83°14'38.31"W,42°37'15.56"N,83°18'55.83"W,42.6565027,-83.2810138,42.6905777,-83.3180943,42.6920055,-83.2464805,42.6224138,-83.2439749,42.6209888,-83.3155083,M_4208322_SE_17_060_20180707,2821636,https://earthexplorer.usgs.gov/browse-link/15920/2821636
M_4208322_SW_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°39'23.41"N,83°20'36.64"W,42°41'26.05"N,83°22'52.15"W,42°41'31.41"N,83°18'30.56"W,42°37'20.72"N,83°18'21.29"W,42°37'15.37"N,83°22'42.59"W,42.6565027,-83.343511,42.6905694,-83.3811527,42.6920583,-83.3084888,42.6224221,-83.3059138,42.620936,-83.3784971,M_4208322_SW_17_060_20180707,2821637,https://earthexplorer.usgs.gov/browse-link/15920/2821637
M_4208323_SW_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°39'23.40"N,83°13'06.64"W,42°41'26.09"N,83°15'21.68"W,42°41'31.15"N,83°11'00.51"W,42°37'20.67"N,83°10'51.75"W,42°37'15.62"N,83°15'12.63"W,42.6565,-83.218511,42.6905805,-83.2560222,42.691986,-83.1834749,42.6224082,-83.1810416,42.6210054,-83.2535083,M_4208323_SW_17_060_20180707,2821641,https://earthexplorer.usgs.gov/browse-link/15920/2821641
M_4208328_NE_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°35'38.41"N,83°31'51.63"W,42°37'39.20"N,83°34'05.88"W,42°37'44.92"N,83°29'47.40"W,42°33'37.56"N,83°29'37.53"W,42°33'31.86"N,83°33'55.72"W,42.5940027,-83.5310082,42.6275554,-83.5682999,42.6291443,-83.4964999,42.5604333,-83.4937583,42.55885,-83.5654777,M_4208328_NE_17_060_20180707,2821658,https://earthexplorer.usgs.gov/browse-link/15920/2821658
M_4208328_SE_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°31'53.41"N,83°31'51.65"W,42°33'56.00"N,83°34'06.00"W,42°34'01.72"N,83°29'47.44"W,42°29'50.77"N,83°29'37.44"W,42°29'45.06"N,83°33'55.72"W,42.5315027,-83.5310138,42.5655555,-83.5683332,42.5671443,-83.496511,42.497436,-83.4937333,42.4958499,-83.5654777,M_4208328_SE_17_060_20180707,2821660,https://earthexplorer.usgs.gov/browse-link/15920/2821660
M_4208329_NE_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°35'38.40"N,83°24'21.64"W,42°37'39.24"N,83°26'35.42"W,42°37'44.66"N,83°22'17.36"W,42°33'37.52"N,83°22'07.99"W,42°33'32.10"N,83°26'25.77"W,42.5939999,-83.4060111,42.6275666,-83.4431721,42.6290721,-83.3714888,42.5604222,-83.368886,42.5589166,-83.4404916,M_4208329_NE_17_060_20180707,2821662,https://earthexplorer.usgs.gov/browse-link/15920/2821662
M_4208329_NW_17_060_20180707,MI,USDA,USDA-FSA-APFO,UTM,17N,NAD83,0.600000000000000,METER,4,CNIR,201806_MICHIGAN_NAIP_0X6000M_UTM_CNIR,2018/07/07,42°35'38.41"N,83°28'06.65"W,42°37'39.23"N,83°30'22.47"W,42°37'44.88"N,83°26'00.61"W,42°33'37.53"N,83°25'50.98"W,42°33'31.90"N,83°30'12.56"W,42.5940027,-83.4685138,42.6275638,-83.5062416,42.6291332,-83.4335027,42.560425,-83.4308277,42.5588611,-83.5034888,M_4208329_NW_17_060_20180707,2821663,https://earthexplorer.usgs.gov/browse-link/15920/2821663
