NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_2909532_SE_15_060_20181210,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/10,29°31'52.59"N,95°01'52.58"W,29°33'49.86"N,95°03'55.41"W,29°33'53.55"N,94°59'54.51"W,29°29'55.28"N,94°59'49.83"W,29°29'51.60"N,95°03'50.57"W,29.5312749,-95.0312721,29.56385,-95.0653916,29.564875,-94.9984749,29.4986888,-94.9971749,29.4976666,-95.0640472,M_2909532_SE_15_060_20181210,2783422,https://earthexplorer.usgs.gov/browse-link/15920/2783422
M_2909503_NE_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°58'07.47"N,95°39'22.51"W,30°00'04.66"N,95°41'26.95"W,30°00'09.56"N,95°37'24.44"W,29°56'10.24"N,95°37'18.15"W,29°56'05.36"N,95°41'20.50"W,29.9687416,-95.6562527,30.0012944,-95.6908194,30.0026555,-95.6234554,29.9361777,-95.6217082,29.9348221,-95.6890277,M_2909503_NE_15_060_20181204,2783304,https://earthexplorer.usgs.gov/browse-link/15920/2783304
M_2909503_SE_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°54'22.44"N,95°39'22.57"W,29°56'19.64"N,95°41'26.92"W,29°56'24.53"N,95°37'24.57"W,29°52'25.21"N,95°37'18.29"W,29°52'20.33"N,95°41'20.49"W,29.9062333,-95.6562694,29.9387888,-95.690811,29.9401471,-95.6234916,29.8736693,-95.6217471,29.8723138,-95.6890249,M_2909503_SE_15_060_20181204,2783306,https://earthexplorer.usgs.gov/browse-link/15920/2783306
M_2909504_NE_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°58'07.47"N,95°31'52.51"W,30°00'04.70"N,95°33'56.59"W,30°00'09.36"N,95°29'54.50"W,29°56'10.21"N,95°29'48.51"W,29°56'05.56"N,95°33'50.44"W,29.9687416,-95.5312527,30.0013055,-95.5657194,30.0026,-95.4984721,29.9361694,-95.4968083,29.9348777,-95.5640111,M_2909504_NE_15_060_20181204,2783308,https://earthexplorer.usgs.gov/browse-link/15920/2783308
M_2909504_NW_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°58'07.48"N,95°35'37.51"W,30°00'04.73"N,95°37'41.77"W,30°00'09.51"N,95°33'39.47"W,29°56'10.18"N,95°33'33.33"W,29°56'05.42"N,95°37'35.47"W,29.9687443,-95.5937527,30.0013138,-95.6282693,30.0026416,-95.5609638,29.936161,-95.5592583,29.9348388,-95.6265193,M_2909504_NW_15_060_20181204,2783309,https://earthexplorer.usgs.gov/browse-link/15920/2783309
M_2909504_SE_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°54'22.44"N,95°31'52.51"W,29°56'19.67"N,95°33'56.62"W,29°56'24.32"N,95°29'54.46"W,29°52'25.17"N,95°29'48.49"W,29°52'20.53"N,95°33'50.49"W,29.9062333,-95.5312527,29.9387971,-95.5657277,29.9400888,-95.498461,29.8736582,-95.4968027,29.8723693,-95.564025,M_2909504_SE_15_060_20181204,2783310,https://earthexplorer.usgs.gov/browse-link/15920/2783310
M_2909504_SW_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°54'22.54"N,95°35'37.49"W,29°56'19.71"N,95°37'41.66"W,29°56'24.48"N,95°33'39.52"W,29°52'25.34"N,95°33'33.40"W,29°52'20.58"N,95°37'35.38"W,29.9062611,-95.5937471,29.9388083,-95.6282388,29.9401333,-95.5609777,29.8737054,-95.5592777,29.8723832,-95.6264943,M_2909504_SW_15_060_20181204,2783311,https://earthexplorer.usgs.gov/browse-link/15920/2783311
M_2909505_NE_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°58'07.43"N,95°24'22.60"W,30°00'04.69"N,95°26'26.42"W,30°00'09.12"N,95°22'24.53"W,29°56'10.14"N,95°22'18.85"W,29°56'05.73"N,95°26'20.58"W,29.9687304,-95.4062777,30.0013027,-95.4406721,30.0025333,-95.3734804,29.9361499,-95.3719027,29.9349249,-95.4390499,M_2909505_NE_15_060_20181204,2783312,https://earthexplorer.usgs.gov/browse-link/15920/2783312
M_2909505_NW_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°58'07.56"N,95°28'07.50"W,30°00'04.75"N,95°30'11.40"W,30°00'09.29"N,95°26'09.52"W,29°56'10.33"N,95°26'03.69"W,29°56'05.80"N,95°30'05.40"W,29.9687666,-95.4687499,30.0013194,-95.5031666,30.0025805,-95.4359777,29.9362027,-95.4343583,29.9349444,-95.5015,M_2909505_NW_15_060_20181204,2783313,https://earthexplorer.usgs.gov/browse-link/15920/2783313
M_2909505_SE_15_060_20181204,TX,USDA,USDA-FSA-APFO,UTM,15N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/12/04,29°54'22.58"N,95°24'22.55"W,29°56'19.84"N,95°26'26.29"W,29°56'24.26"N,95°22'24.56"W,29°52'25.28"N,95°22'18.89"W,29°52'20.88"N,95°26'20.47"W,29.9062722,-95.4062638,29.9388444,-95.440636,29.9400721,-95.3734888,29.8736888,-95.3719138,29.8724666,-95.4390194,M_2909505_SE_15_060_20181204,2783314,https://earthexplorer.usgs.gov/browse-link/15920/2783314
