NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_4208806_NE_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,42°58'07.52"N,88°16'52.55"W,43°00'09.53"N,88°19'03.24"W,43°00'12.40"N,88°14'46.98"W,42°56'05.47"N,88°14'42.00"W,42°56'02.61"N,88°18'57.97"W,42.9687554,-88.2812638,43.0026472,-88.3175666,43.0034444,-88.2463833,42.9348527,-88.2449999,42.9340583,-88.3161027,M_4208806_NE_16_060_20180917,2747978,https://earthexplorer.usgs.gov/browse-link/15920/2747978
M_4208807_NW_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,42°58'07.51"N,88°13'07.56"W,43°00'09.53"N,88°15'18.01"W,43°00'12.26"N,88°11'01.98"W,42°56'05.44"N,88°10'57.25"W,42°56'02.72"N,88°15'12.99"W,42.9687527,-88.2187666,43.0026472,-88.2550027,43.0034055,-88.1838833,42.9348444,-88.1825693,42.9340888,-88.2536083,M_4208807_NW_16_060_20180917,2747983,https://earthexplorer.usgs.gov/browse-link/15920/2747983
M_4308862_NE_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,43°05'37.51"N,88°16'52.56"W,43°07'39.52"N,88°19'03.30"W,43°07'42.39"N,88°14'46.97"W,43°03'35.46"N,88°14'41.97"W,43°03'32.60"N,88°18'58.01"W,43.0937527,-88.2812666,43.1276443,-88.3175832,43.1284416,-88.2463805,43.05985,-88.2449916,43.0590555,-88.3161138,M_4308862_NE_16_060_20180917,2748346,https://earthexplorer.usgs.gov/browse-link/15920/2748346
M_4308862_NW_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,43°05'37.52"N,88°20'37.56"W,43°07'39.50"N,88°22'48.54"W,43°07'42.52"N,88°18'31.98"W,43°03'35.48"N,88°18'26.72"W,43°03'32.48"N,88°22'43.00"W,43.0937555,-88.3437666,43.1276388,-88.3801499,43.1284777,-88.3088833,43.0598555,-88.3074222,43.0590222,-88.378611,M_4308862_NW_16_060_20180917,2748347,https://earthexplorer.usgs.gov/browse-link/15920/2748347
M_4308862_SE_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,43°01'52.52"N,88°16'52.56"W,43°03'54.53"N,88°19'03.28"W,43°03'57.41"N,88°14'46.98"W,42°59'50.46"N,88°14'41.98"W,42°59'47.59"N,88°18'58.00"W,43.0312554,-88.2812666,43.0651472,-88.3175777,43.0659472,-88.2463833,42.9973499,-88.2449944,42.9965527,-88.3161111,M_4308862_SE_16_060_20180917,2748348,https://earthexplorer.usgs.gov/browse-link/15920/2748348
M_4308862_SW_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,43°01'52.51"N,88°20'37.55"W,43°03'54.50"N,88°22'48.50"W,43°03'57.52"N,88°18'31.99"W,42°59'50.48"N,88°18'26.74"W,42°59'47.47"N,88°22'42.97"W,43.0312527,-88.3437638,43.0651388,-88.3801388,43.0659777,-88.3088861,42.9973555,-88.3074277,42.9965194,-88.3786027,M_4308862_SW_16_060_20180917,2748349,https://earthexplorer.usgs.gov/browse-link/15920/2748349
M_4308863_NW_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,43°05'37.52"N,88°13'07.56"W,43°07'39.54"N,88°15'18.07"W,43°07'42.27"N,88°11'01.94"W,43°03'35.45"N,88°10'57.19"W,43°03'32.73"N,88°15'13.03"W,43.0937555,-88.2187666,43.1276499,-88.2550194,43.1284082,-88.1838721,43.0598472,-88.1825527,43.0590916,-88.2536194,M_4308863_NW_16_060_20180917,2748351,https://earthexplorer.usgs.gov/browse-link/15920/2748351
M_4308863_SW_16_060_20180917,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/17,43°01'52.51"N,88°13'07.55"W,43°03'54.54"N,88°15'18.04"W,43°03'57.27"N,88°11'01.96"W,42°59'50.45"N,88°10'57.22"W,42°59'47.73"N,88°15'13.01"W,43.0312527,-88.2187638,43.06515,-88.2550111,43.0659083,-88.1838777,42.9973471,-88.182561,42.9965916,-88.2536138,M_4308863_SW_16_060_20180917,2748353,https://earthexplorer.usgs.gov/browse-link/15920/2748353
M_4208807_NE_16_060_20180915,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/15,42°58'07.52"N,88°09'22.56"W,43°00'09.55"N,88°11'32.78"W,43°00'12.14"N,88°07'16.96"W,42°56'05.45"N,88°07'12.48"W,42°56'02.87"N,88°11'28.01"W,42.9687554,-88.1562666,43.0026527,-88.1924388,43.0033722,-88.1213777,42.9348471,-88.1201332,42.9341305,-88.1911138,M_4208807_NE_16_060_20180915,2747982,https://earthexplorer.usgs.gov/browse-link/15920/2747982
M_4208807_SE_16_060_20180915,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/15,42°54'22.51"N,88°09'22.55"W,42°56'24.54"N,88°11'32.75"W,42°56'27.13"N,88°07'16.97"W,42°52'20.44"N,88°07'12.50"W,42°52'17.86"N,88°11'28.00"W,42.9062527,-88.1562638,42.9401499,-88.1924305,42.9408694,-88.1213804,42.8723443,-88.1201388,42.8716277,-88.191111,M_4208807_SE_16_060_20180915,2747984,https://earthexplorer.usgs.gov/browse-link/15920/2747984
M_4208808_NW_16_060_20180915,WI,USDA,USDA-FSA-APFO,UTM,16N,NAD83,0.600000000000000,METER,4,CNIR,201807_WISCONSIN_NAIP_0X6000M_UTM_CNIR,2018/09/15,42°58'07.51"N,88°05'37.55"W,43°00'09.56"N,88°07'47.55"W,43°00'12.00"N,88°03'31.93"W,42°56'05.43"N,88°03'27.70"W,42°56'02.99"N,88°07'43.03"W,42.9687527,-88.0937638,43.0026555,-88.1298749,43.0033333,-88.0588694,42.9348416,-88.0576944,42.9341638,-88.1286193,M_4208808_NW_16_060_20180915,2747987,https://earthexplorer.usgs.gov/browse-link/15920/2747987
